State/UT,Nominal GDP($B)
Maharashtra,400
Tamil Nadu,260
Uttar Pradesh,250
Karnataka,220
Gujarat,210
West Bengal,180
Rajasthan,140
Andhra Pradesh,140
Telangana,140
Madhya Pradesh,130
Delhi,120
Haryana,120
Kerala,110
Bihar,86
Punjab,81
Odisha,74
Assam,44
Chhattisgarh,46
Jharkhand,46
Uttarakhand,34
Himachal Pradesh,23
Jammu & Kashmir,22
Goa,10
Tripura,7.8
Chandigarh,5.9
Puducherry,5.7
Meghalaya,5.1
Sikkim,4
Manipur,4.6
Nagaland,3.8
Arunachal Pradesh,3.4
Mizoram,2.7
Andaman & Nicobar Islands,1.1
