,city,state,type,latitude,longitude
0,Port Blair,Andaman and Nicobar,Government Laboratory,11.6346545,92.71463709999999
1,Naharlagun,Arunachal Pradesh,Collection Site,27.103885499999997,93.6910961
2,Tirupati,Andhra Pradesh,Government Laboratory,13.6379378,79.4039118
3,Kakinada,Andhra Pradesh,Government Laboratory,16.9791646,82.237258
4,Vijayawada,Andhra Pradesh,Government Laboratory,16.5174383,80.6713233
5,Anantapur,Andhra Pradesh,Government Laboratory,14.6712103,77.59287370000001
6,Guntur,Andhra Pradesh,Government Laboratory,16.2982124,80.4383123
7,Puttampalli,Andhra Pradesh,Government Laboratory,14.433235999999999,78.86444990000001
8,Vishakhapatnam,Andhra Pradesh,Government Laboratory,17.706492800000003,83.304866
9,Guwahati,Assam,Government Laboratory,26.1542109,91.7700714
10,Dibrugarh,Assam,Government Laboratory,27.472705100000002,94.98279659999999
11,Jorhat,Assam,Government Laboratory,26.742573800000002,94.1951087
12,Silchar,Assam,Government Laboratory,24.775798,92.7949158
13,Barpeta,Assam,Government Laboratory,26.324422499999997,90.9849772
14,Tezpur,Assam,Government Laboratory,26.6814787,92.65227390000001
15,Patna,Bihar,Government Laboratory,25.599738600000002,85.197722
16,Patna,Bihar,Government Laboratory,25.6105573,85.0889323
17,Patna,Bihar,Government Laboratory,25.620914199999998,85.16031679999999
18,Darbhanga,Bihar,Government Laboratory,26.133774300000002,85.90158829999999
19,Muzaffarpur,Bihar,Government Laboratory,26.1669211,85.3934566
20,Patna,Bihar,Government Laboratory,25.562901999999998,85.0413338
21,Chandigarh,Chandigarh,Government Laboratory,30.764964600000003,76.7750066
22,Chandigarh,Chandigarh,Government Laboratory,30.708827000000003,76.7804878
23,Chandigarh,Chandigarh,Government Laboratory,30.747768,76.7337
24,Raipur,Chhattisgarh,Government Laboratory,21.2567797,81.5791788
25,Jagdalpur,Chhattisgarh,Government Laboratory,19.0506869,81.94818120000001
26,Raipur,Chhattisgarh,Government Laboratory,21.2521217,81.63942840000001
27,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Government Laboratory,20.2707155,73.00766340000001
28,New Delhi,Delhi,Government Laboratory,28.567177299999997,77.21004509999999
29,New Delhi,Delhi,Government Laboratory,28.634208,77.2125679
30,New Delhi,Delhi,Government Laboratory,28.679468100000005,77.223585
31,New Delhi,Delhi,Government Laboratory,28.6257093,77.2006339
32,New Delhi,Delhi,Government Laboratory,28.506639500000002,77.16614
33,New Delhi,Delhi,Government Laboratory,28.583650300000002,77.15787370000001
34,New Delhi,Delhi,Government Laboratory,28.6357398,77.2400709
35,New Delhi,Delhi,Government Laboratory,28.567163300000004,77.2075551
36,New Delhi,Delhi,Private Laboratory,28.7388534,77.1364103
37,New Delhi,Delhi,Private Laboratory,28.550132399999995,77.2034503
38,New Delhi,Delhi,Private Laboratory,28.541389600000002,77.28379040000002
39,New Delhi,Delhi,Private Laboratory,28.527638,77.2120949
40,New Delhi,Delhi,Private Laboratory,28.638800899999996,77.1901027
41,New Delhi,Delhi,Private Laboratory,28.568484,77.20180500000001
42,New Delhi,Delhi,Private Laboratory,28.580235,77.05098559999999
43,New Delhi,Delhi,Private Laboratory,28.639607199999997,77.0962882
44,New Delhi,Delhi,Private Laboratory,28.560078999999998,77.2046567
45,New Delhi,Delhi,Private Laboratory,28.6433037,77.1798616
46,Ahmedabad,Gujarat,Government Laboratory,23.0524508,72.6028567
47,Jamnagar,Gujarat,Government Laboratory,22.4773074,70.06523990000001
48,Surat,Gujarat,Government Laboratory,21.1780573,72.82025240000002
49,Bhavnagar,Gujarat,Government Laboratory,21.768738100000004,72.13698520000001
50,Vadodara,Gujarat,Government Laboratory,22.3043783,73.1918191
51,Rajkot,Gujarat,Government Laboratory,22.3049715,70.7984304
52,Ahmedabad,Gujarat,Government Laboratory,23.0186615,72.5713277
53,Ahmedabad,Gujarat,Government Laboratory,23.082775100000003,72.52488659999999
54,Ahmedabad,Gujarat,Government Laboratory,23.054771,72.6107296
55,Surat,Gujarat,Government Laboratory,21.1975074,72.84501230000001
56,Ahmedabad,Gujarat,Private Laboratory,23.0191034,72.5556622
57,Ahmedabad,Gujarat,Private Laboratory,23.0198295,72.5592869
58,Surat,Gujarat,Private Laboratory,21.1833745,72.8143657
59,Ahmedabad,Gujarat,Private Laboratory,23.0195647,72.5606113
60,Goa,Goa,Government Laboratory,15.4643263,73.8584025
61,Rohtak,Haryana,Government Laboratory,28.8801261,76.60556820000001
62,Sonipat,Haryana,Government Laboratory,29.152057300000003,76.8083989
63,Faridabad,Haryana,Government Laboratory,28.3944107,77.2937012
64,Hisar,Haryana,Government Laboratory,29.133565100000002,75.7528328
65,Karnal,Haryana,Government Laboratory,29.697012599999997,76.9900411
66,Gurugram,Haryana,Private Laboratory,28.429437899999996,77.0155385
