,District,State,Zone
0,South Andamans,Andaman And Nicobar Islands,Red Zone
1,Nicobars,Andaman And Nicobar Islands,Green Zone
2,North And Middle Andaman,Andaman And Nicobar Islands,Green Zone
3,Kurnool,Andhra Pradesh,Red Zone
4,Guntur,Andhra Pradesh,Red Zone
5,Krishna,Andhra Pradesh,Red Zone
6,Chittoor,Andhra Pradesh,Red Zone
7,Spsr Nellore,Andhra Pradesh,Red Zone
8,West Godavari,Andhra Pradesh,Orange Zone
9,YSR,Andhra Pradesh,Orange Zone
10,Anantapur,Andhra Pradesh,Orange Zone
11,Prakasam,Andhra Pradesh,Orange Zone
12,East Godavari,Andhra Pradesh,Orange Zone
13,Srikakulam,Andhra Pradesh,Orange Zone
14,Visakhapatanam,Andhra Pradesh,Orange Zone
15,Vizianagaram,Andhra Pradesh,Green Zone
16,Lohit,Arunachal Pradesh,Green Zone
17,Changlang,Arunachal Pradesh,Green Zone
18,Dibang Valley,Arunachal Pradesh,Green Zone
19,East Kameng,Arunachal Pradesh,Green Zone
20,East Siang,Arunachal Pradesh,Green Zone
21,KurungKumey,Arunachal Pradesh,Green Zone
22,Lower Dibang Valley,Arunachal Pradesh,Green Zone
23,Lower Subansiri,Arunachal Pradesh,Green Zone
24,Papum Pare,Arunachal Pradesh,Green Zone
25,Tawang,Arunachal Pradesh,Green Zone
26,Tirap,Arunachal Pradesh,Green Zone
27,Upper Siang,Arunachal Pradesh,Green Zone
28,Upper Subansiri,Arunachal Pradesh,Green Zone
29,West Kameng,Arunachal Pradesh,Green Zone
30,West Siang,Arunachal Pradesh,Green Zone
31,Anjaw,Arunachal Pradesh,Green Zone
32,Longding,Arunachal Pradesh,Green Zone
33,KraDaadi,Arunachal Pradesh,Green Zone
34,Namsai,Arunachal Pradesh,Green Zone
35,Siang,Arunachal Pradesh,Green Zone
36,Kamle,Arunachal Pradesh,Green Zone
37,Lower Siang,Arunachal Pradesh,Green Zone
38,PakkeKessang,Arunachal Pradesh,Green Zone
39,Leparada,Arunachal Pradesh,Green Zone
40,Shi Yomi,Arunachal Pradesh,Green Zone
41,Dhubri,Assam,Orange Zone
42,Marigaon,Assam,Orange Zone
43,Goalpara,Assam,Orange Zone
44,Golaghat,Assam,Green Zone
45,Karimganj,Assam,Green Zone
46,Nalbari,Assam,Green Zone
47,Hailakandi,Assam,Green Zone
48,Cachar,Assam,Green Zone
49,Kamrup,Assam,Green Zone
50,Lakhimpur,Assam,Green Zone
51,Kamrup Metro,Assam,Green Zone
52,South SalmaraMancachar,Assam,Green Zone
53,Barpeta,Assam,Green Zone
54,Bongaigaon,Assam,Green Zone
55,Darrang,Assam,Green Zone
56,Dhemaji,Assam,Green Zone
57,Dibrugarh,Assam,Green Zone
58,Jorhat,Assam,Green Zone
59,KarbiAnglong,Assam,Green Zone
60,Kokrajhar,Assam,Green Zone
61,Nagaon,Assam,Green Zone
62,Dima Hasao,Assam,Green Zone
63,Sivasagar,Assam,Green Zone
64,Sonitpur,Assam,Green Zone
65,Tinsukia,Assam,Green Zone
66,Chi rang,Assam,Green Zone
67,Baksa,Assam,Green Zone
68,Udalguri,Assam,Green Zone
69,Biswanath,Assam,Green Zone
70,Majuli,Assam,Green Zone
71,Charaideo,Assam,Green Zone
72,Hojai,Assam,Green Zone
73,West KarbiAnglong,Assam,Green Zone
74,Munger,Bihar,Red Zone
75,Patna,Bihar,Red Zone
76,Rohtas,Bihar,Red Zone
77,Buxar,Bihar,Red Zone
78,Gaya,Bihar,Red Zone
79,Nalanda,Bihar,Orange Zone
80,Kaimur (Bhabua),Bihar,Orange Zone
81,Siwan,Bihar,Orange Zone
82,Gopalganj,Bihar,Orange Zone
83,Bhojpur,Bihar,Orange Zone
84,Begusarai,Bihar,Orange Zone
85,Aurangabad,Bihar,Orange Zone
86,Madhubani,Bihar,Orange Zone
87,Purbi Champaran,Bihar,Orange Zone
88,Bhagalpur,Bihar,Orange Zone
89,Arwal,Bihar,Orange Zone
90,Saran,Bihar,Orange Zone
91,Nawada,Bihar,Orange Zone
92,Lakhisarai,Bihar,Orange Zone
93,Banka,Bihar,Orange Zone
94,Vaishali,Bihar,Orange Zone
95,Darbhanga,Bihar,Orange Zone
96,Jehanabad,Bihar,Orange Zone
97,Madhepura,Bihar,Orange Zone
98,Purnia,Bihar,Orange Zone
99,Sheikhpura,Bihar,Green Zone
100,Araria,Bihar,Green Zone
101,Jamui,Bihar,Green Zone
102,Katihar,Bihar,Green Zone
103,Khagaria,Bihar,Green Zone
104,Kishanganj,Bihar,Green Zone
105,Muzaffarpur,Bihar,Green Zone
106,Pashchim Champaran,Bihar,Green Zone
107,Saharsa,Bihar,Green Zone
108,Samastipur,Bihar,Green Zone
109,Sheohar,Bihar,Green Zone
110,Sitamarhi,Bihar,Green Zone
111,Supaul,Bihar,Green Zone
112,Chandigarh,Chandigarh,Red Zone
113,Raipur,Chhattisgarh,Red Zone
114,Korba,Chhattisgarh,Orange Zone
115,Surajpur,Chhattisgarh,Green Zone
116,Bilaspur,Chhattisgarh,Green Zone
117,Durg,Chhattisgarh,Green Zone
118,Rajnandgaon,Chhattisgarh,Green Zone
119,Ba star,Chhattisgarh,Green Zone
120,Dantewada,Chhattisgarh,Green Zone
121,Dhamtari,Chhattisgarh,Green Zone
122,Janjgir-Champa,Chhattisgarh,Green Zone
123,Jashpur,Chhattisgarh,Green Zone
124,Kanker,Chhattisgarh,Green Zone
125,Kabirdham,Chhattisgarh,Green Zone
126,Korea,Chhattisgarh,Green Zone
127,Mahasamund,Chhattisgarh,Green Zone
128,Raigarh,Chhattisgarh,Green Zone
129,Surguja,Chhattisgarh,Green Zone
130,Bijapur,Chhattisgarh,Green Zone
131,Narayanpur,Chhattisgarh,Green Zone
132,Sukma,Chhattisgarh,Green Zone
133,Kondagaon,Chhattisgarh,Green Zone
134,Baloda Bazar,Chhattisgarh,Green Zone
135,Gariyaband,Chhattisgarh,Green Zone
136,Balod,Chhattisgarh,Green Zone
137,Mungeli,Chhattisgarh,Green Zone
138,Balrampur,Chhattisgarh,Green Zone
139,Bemetara,Chhattisgarh,Green Zone
140,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Green Zone
141,Daman,Daman And Diu,Green Zone
142,Diu,Daman And Diu,Green Zone
143,South East,Delhi,Red Zone
144,Central,Delhi,Red Zone
145,North,Delhi,Red Zone
146,South,Delhi,Red Zone
147,North East,Delhi,Red Zone
148,West,Delhi,Red Zone
149,Shahdara,Delhi,Red Zone
150,East,Delhi,Red Zone
151,New Delhi,Delhi,Red Zone
152,North West,Delhi,Red Zone
153,South West,Delhi,Red Zone
154,North Goa,Goa,Green Zone
155,South Goa,Goa,Green Zone
156,Ahmadabad,Gujarat,Red Zone
157,Surat,Gujarat,Red Zone
158,Vadodara,Gujarat,Red Zone
159,Anand,Gujarat,Red Zone
160,Banas Kantha,Gujarat,Red Zone
161,Panch Mahals,Gujarat,Red Zone
162,Bhavnagar,Gujarat,Red Zone
163,Gandhinagar,Gujarat,Red Zone
164,ArvaIii,Gujarat,Red Zone
165,Rajkot,Gujarat,Orange Zone
166,Bharuch,Gujarat,Orange Zone
167,Botad,Gujarat,Orange Zone
168,Narmada,Gujarat,Orange Zone
169,Chhotaudepur,Gujarat,Orange Zone
170,Mahisagar,Gujarat,Orange Zone
171,Mahesana,Gujarat,Orange Zone
172,Patan,Gujarat,Orange Zone
173,Kheda,Gujarat,Orange Zone
174,Valsad,Gujarat,Orange Zone
175,Dohad,Gujarat,Orange Zone
176,Kachchh,Gujarat,Orange Zone
177,Navsari,Gujarat,Orange Zone
178,GirSomnath,Gujarat,Orange Zone
179,Dang,Gujarat,Orange Zone
180,SabarKantha,Gujarat,Orange Zone
181,Tapi,Gujarat,Orange Zone
182,Jamnagar,Gujarat,Orange Zone
183,Surendranagar,Gujarat,Orange Zone
184,Morbi,Gujarat,Green Zone
185,Amreli,Gujarat,Green Zone
186,Porbandar,Gujarat,Green Zone
187,Junagadh,Gujarat,Green Zone
188,Devbhumi Dwarka,Gujarat,Green Zone
189,Sonipat,Haryana,Red Zone
190,Faridabad,Haryana,Red Zone
191,Gurugram,Haryana,Orange Zone
192,Nuh,Haryana,Orange Zone
193,Panipat,Haryana,Orange Zone
194,Panchkula,Haryana,Orange Zone
195,Palwal,Haryana,Orange Zone
196,Rohtak,Haryana,Orange Zone
197,Hisar,Haryana,Orange Zone
198,Ambala,Haryana,Orange Zone
199,Jhajjar,Haryana,Orange Zone
200,Bhiwani,Haryana,Orange Zone
201,Kaithal,Haryana,Orange Zone
202,Kurukshetra,Haryana,Orange Zone
203,Karna I,Haryana,Orange Zone
204,Jind,Haryana,Orange Zone
205,Sirsa,Haryana,Orange Zone
206,Yamunanagar,Haryana,Orange Zone
207,Fatehabad,Haryana,Orange Zone
208,Charki Dadri,Haryana,Orange Zone
209,Mahendragarh,Haryana,Green Zone
210,Rewari,Haryana,Green Zone
211,Una,Himachal Pradesh,Orange Zone
212,Chamba,Himachal Pradesh,Orange Zone
213,Hamirpur,Himachal Pradesh,Orange Zone
214,Kangra,Himachal Pradesh,Orange Zone
215,Sirmaur,Himachal Pradesh,Orange Zone
216,Solan,Himachal Pradesh,Orange Zone
217,Bilaspur,Himachal Pradesh,Green Zone
218,Kinnaur,Himachal Pradesh,Green Zone
219,Kullu,Himachal Pradesh,Green Zone
220,Lahul And Spiti,Himachal Pradesh,Green Zone
221,Mandi,Himachal Pradesh,Green Zone
222,Shimla,Himachal Pradesh,Green Zone
223,Bandipora,Jammu And Kashmir,Red Zone
224,Shopian,Jammu And Kashmir,Red Zone
225,Anantnag,Jammu And Kashmir,Red Zone
226,Srinagar,Jammu And Kashmir,Red Zone
227,Baramulla,Jammu And Kashmir,Orange Zone
228,Kupwara,Jammu And Kashmir,Orange Zone
229,Ganderbal,Jammu And Kashmir,Orange Zone
230,Jammu,Jammu And Kashmir,Orange Zone
231,Udhampur,Jammu And Kashmir,Orange Zone
232,Kulgam,Jammu And Kashmir,Orange Zone
233,Budgam,Jammu And Kashmir,Orange Zone
234,Samba,Jammu And Kashmir,Orange Zone
