,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,2020-01-30,Kerala,1,0,0,0,1
1,2020-01-31,Kerala,1,0,0,0,1
2,2020-02-01,Kerala,2,0,0,0,2
3,2020-02-02,Kerala,3,0,0,0,3
4,2020-02-03,Kerala,3,0,0,0,3
5,2020-02-04,Kerala,3,0,0,0,3
6,2020-02-05,Kerala,3,0,0,0,3
7,2020-02-06,Kerala,3,0,0,0,3
8,2020-02-07,Kerala,3,0,0,0,3
9,2020-02-08,Kerala,3,0,0,0,3
10,2020-02-09,Kerala,3,0,0,0,3
11,2020-02-10,Kerala,3,0,0,0,3
12,2020-02-11,Kerala,3,0,0,0,3
13,2020-02-12,Kerala,3,0,0,0,3
14,2020-02-13,Kerala,3,0,0,0,3
15,2020-02-14,Kerala,3,0,0,0,3
16,2020-02-15,Kerala,3,0,0,0,3
17,2020-02-16,Kerala,3,0,0,0,3
18,2020-02-17,Kerala,3,0,0,0,3
19,2020-02-18,Kerala,3,0,0,0,3
20,2020-02-19,Kerala,3,0,0,0,3
21,2020-02-20,Kerala,3,0,0,0,3
22,2020-02-21,Kerala,3,0,0,0,3
23,2020-02-22,Kerala,3,0,0,0,3
24,2020-02-23,Kerala,3,0,0,0,3
25,2020-02-24,Kerala,3,0,0,0,3
26,2020-02-25,Kerala,3,0,0,0,3
27,2020-02-26,Kerala,3,0,0,0,3
28,2020-02-27,Kerala,3,0,0,0,3
29,2020-02-28,Kerala,3,0,0,0,3
30,2020-02-29,Kerala,3,0,0,0,3
31,2020-03-01,Kerala,3,0,0,0,3
32,2020-03-02,Telengana,1,0,0,0,1
33,2020-03-02,Kerala,3,0,0,0,3
34,2020-03-02,Delhi,1,0,0,0,1
35,2020-03-03,Telengana,1,0,0,0,1
36,2020-03-03,Rajasthan,0,1,0,0,1
37,2020-03-03,Kerala,3,0,3,0,3
38,2020-03-03,Delhi,1,0,0,0,1
39,2020-03-04,Uttar Pradesh,6,0,0,0,6
40,2020-03-04,Kerala,3,0,3,0,3
41,2020-03-04,Haryana,0,2,0,0,2
42,2020-03-04,Delhi,1,0,0,0,1
43,2020-03-04,Telengana,1,0,0,0,1
44,2020-03-04,Rajasthan,1,14,0,0,15
45,2020-03-05,Delhi,2,0,0,0,2
46,2020-03-05,Haryana,0,2,0,0,2
47,2020-03-05,Kerala,3,0,3,0,3
48,2020-03-05,Rajasthan,1,14,0,0,15
49,2020-03-05,Telengana,1,0,0,0,1
50,2020-03-05,Uttar Pradesh,7,0,0,0,7
51,2020-03-06,Delhi,3,0,0,0,3
52,2020-03-06,Haryana,0,2,0,0,2
53,2020-03-06,Kerala,3,0,3,0,3
54,2020-03-06,Rajasthan,1,14,0,0,15
55,2020-03-06,Uttar Pradesh,7,0,0,0,7
56,2020-03-06,Telengana,1,0,0,0,1
57,2020-03-07,Kerala,3,0,3,0,3
58,2020-03-07,Uttar Pradesh,7,0,0,0,7
59,2020-03-07,Ladakh,2,0,0,0,2
60,2020-03-07,Telengana,1,0,0,0,1
61,2020-03-07,Tamil Nadu,1,0,0,0,1
62,2020-03-07,Delhi,3,0,0,0,3
63,2020-03-07,Haryana,0,2,0,0,2
64,2020-03-07,Rajasthan,1,14,0,0,15
65,2020-03-08,Ladakh,2,0,0,0,2
66,2020-03-08,Telengana,1,0,0,0,1
67,2020-03-08,Tamil Nadu,1,0,0,0,1
68,2020-03-08,Rajasthan,1,14,0,0,15
69,2020-03-08,Kerala,8,0,3,0,8
70,2020-03-08,Haryana,0,2,0,0,2
71,2020-03-08,Delhi,3,0,0,0,3
72,2020-03-08,Uttar Pradesh,7,0,0,0,7
73,2020-03-09,Ladakh,2,0,0,0,2
74,2020-03-09,Karnataka,1,0,0,0,1
75,2020-03-09,Kerala,9,0,3,0,9
76,2020-03-09,Maharashtra,2,0,0,0,2
77,2020-03-09,Punjab,1,0,0,0,1
78,2020-03-09,Rajasthan,1,14,0,0,15
79,2020-03-09,Tamil Nadu,1,0,0,0,1
80,2020-03-09,Telengana,1,0,0,0,1
81,2020-03-09,Jammu and Kashmir,1,0,0,0,1
82,2020-03-09,Uttar Pradesh,7,0,0,0,7
83,2020-03-09,Haryana,0,2,0,0,2
84,2020-03-09,Delhi,4,0,0,0,4
85,2020-03-10,Uttar Pradesh,7,0,0,0,7
86,2020-03-10,Ladakh,2,0,0,0,2
87,2020-03-10,Delhi,4,0,0,0,4
88,2020-03-10,Haryana,0,2,0,0,2
89,2020-03-10,Karnataka,4,0,0,0,4
90,2020-03-10,Kerala,15,0,3,0,15
91,2020-03-10,Maharashtra,5,0,0,0,5
92,2020-03-10,Punjab,1,0,0,0,1
93,2020-03-10,Rajasthan,1,14,0,0,15
94,2020-03-10,Tamil Nadu,1,0,0,0,1
95,2020-03-10,Telengana,1,0,0,0,1
96,2020-03-10,Jammu and Kashmir,1,0,0,0,1
97,2020-03-11,Maharashtra,2,0,0,0,2
98,2020-03-11,Delhi,5,0,0,0,5
99,2020-03-11,Haryana,0,14,0,0,14
100,2020-03-11,Kerala,17,0,3,0,17
101,2020-03-11,Rajasthan,1,2,0,0,3
102,2020-03-11,Telengana,1,0,0,0,1
103,2020-03-11,Uttar Pradesh,9,0,0,0,9
104,2020-03-11,Ladakh,2,0,0,0,2
105,2020-03-11,Tamil Nadu,1,0,0,0,1
106,2020-03-11,Jammu and Kashmir,1,0,0,0,1
107,2020-03-11,Punjab,1,0,0,0,1
108,2020-03-11,Karnataka,4,0,0,0,4
109,2020-03-12,Delhi,6,0,0,0,6
110,2020-03-12,Haryana,0,14,0,0,14
111,2020-03-12,Kerala,17,0,3,0,17
112,2020-03-12,Rajasthan,1,2,0,0,3
113,2020-03-12,Telengana,1,0,0,0,1
114,2020-03-12,Uttar Pradesh,10,1,0,0,11
115,2020-03-12,Ladakh,3,0,0,0,3
116,2020-03-12,Tamil Nadu,1,0,0,0,1
117,2020-03-12,Jammu and Kashmir,1,0,0,0,1
118,2020-03-12,Punjab,1,0,0,0,1
119,2020-03-12,Karnataka,4,0,0,0,4
120,2020-03-12,Maharashtra,11,0,0,0,11
121,2020-03-12,Andhra Pradesh,1,0,0,0,1
122,2020-03-13,Delhi,6,0,0,0,6
123,2020-03-13,Haryana,0,14,0,0,14
124,2020-03-13,Kerala,19,0,3,0,19
125,2020-03-13,Rajasthan,1,2,0,0,3
126,2020-03-13,Telengana,1,0,0,0,1
127,2020-03-13,Uttar Pradesh,10,1,0,0,11
128,2020-03-13,Ladakh,3,0,0,0,3
129,2020-03-13,Tamil Nadu,1,0,0,0,1
130,2020-03-13,Jammu and Kashmir,1,0,0,0,1
131,2020-03-13,Punjab,1,0,0,0,1
132,2020-03-13,Karnataka,6,0,0,1,6
